id,borough,neighborhood,whoRaceNonWhite,whoBornOutside,socioecoHighSchool,socioecoPoverty,socioecoUnemployment,socioecoRent,socioecoHelpful,homeDefects,homeRoaches,homeAir,homeBike,homePedInjury,homeBodega,homeFarmersMarket,healthChildObesity,healthChildAsthma,healthPhysicalActivity,healthUninsured,healthMedCare,healthFluVacc,healthAdultObesity,healthInfantMortality,healthLifeExpectancy,whoRaceNonWhiteValue,whoBornOutsideValue,socioecoHighSchoolValue,socioecoPovertyValue,socioecoUnemploymentValue,socioecoRentValue,socioecoHelpfulValue,homeDefectsValue,homeRoachesValue,homeAirValue,homeBikeValue,homePedInjuryValue,homeBodegaValue,homeFarmersMarketValue,healthChildObesityValue,healthChildAsthmaValue,healthPhysicalActivityValue,healthUninsuredValue,healthMedCareValue,healthFluVaccValue,healthAdultObesityValue,healthInfantMortalityValue,healthLifeExpectancyValue
408,Queens,Hillcrest and Fresh Meadows,6.746987952,7,3.605263158,6,4.75,6.464285714,5.034482759,6.368421053,4.638297872,2.698113208,2.6,4.315789474,1.333333333,4.375,6.086956522,2.308562197,2.8,3.88,8.071428571,4.413793103,4.789473684,3.465753425,8.333333333,69,47,14,22,9,54,70,52,19,7,8,23,5,3,18,118,70,11,14,44,20,2.8,83.9
202,Bronx,Hunts Point and Longwood,10,3.8125,10,8.333333333,7,7.75,1,1.947368421,8.659574468,5.245283019,6.4,7.394736842,3.833333333,2.125,9.217391304,6.873990307,1,4.96,5.5,8.137931034,10,5.191780822,4.166666667,99,30,41,29,12,58,57,24,40,8.5,27,36,20,1,26,432,65,14,10,56,42,4.2,78.9
403,Queens,Jackson Heights,8.915662651,9.4375,7.394736842,7,3.25,8.071428571,4.413793103,6.368421053,5.787234043,3.20754717,3.2,3.605263158,3.333333333,3.25,9.217391304,2.948303716,3.52,10,6.142857143,3.482758621,4.789473684,5.191780822,9,89,60,30,25,7,59,68,52,25,7.3,11,20,17,2,26,162,72,28,11,41,20,4.2,84.7
412,Queens,Jamaica and Hollis,9.891566265,6.0625,4.789473684,5.333333333,7,7.107142857,6.896551724,6.684210526,4.829787234,2.698113208,1,5.026315789,3.833333333,4.375,8.043478261,3.529886914,2.44,4.6,7.428571429,1.310344828,7.157894737,7.657534247,5.5,98,42,19,20,12,56,76,54,20,7,0,26,20,3,23,202,69,13,13,34,30,6.2,80.5
409,Queens,Kew Gardens and Woodhaven,8.156626506,7.75,5.736842105,6,4,6.785714286,5.034482759,7.947368421,3.872340426,3.20754717,1,4.789473684,2.333333333,1,7.652173913,2.526655897,1.72,5.32,3.571428571,4.103448276,5.5,5.068493151,7.5,82,51,23,22,8,55,70,62,15,7.3,0,25,11,0,22,133,67,15,7,43,23,4.1,82.9
207,Bronx,Kingsbridge Heights and Bedford,9.457831325,6.4375,7.868421053,7.333333333,8.5,8.714285714,2.862068966,2.736842105,9.234042553,4.056603774,3.4,5.026315789,3.5,4.375,8.826086957,7.150242326,2.08,5.68,6.142857143,5.655172414,7.868421053,4.452054795,4.583333333,94,44,32,26,14,61,63,29,43,7.8,12,26,18,3,25,451,68,16,11,48,33,3.6,79.4
401,Queens,Long Island City and Astoria,5.445783133,5.6875,4.078947368,4.666666667,4,4.214285714,5.965517241,5.421052632,5.404255319,4.056603774,3.8,2.184210526,2.166666667,3.25,7.652173913,2.701130856,3.88,4.24,5.5,4.413793103,4.552631579,5.315068493,7.916666667,57,40,16,18,8,47,73,46,23,7.8,14,14,10,2,22,145,73,12,10,44,19,4.3,83.4
103,Manhattan,Lower East Side and Chinatown,6.855421687,4.5625,5.973684211,4.666666667,4,4.535714286,3.793103448,3.842105263,7.893617021,5.924528302,8.4,3.605263158,3.5,5.5,5.304347826,4.911147011,5.32,3.88,4.214285714,5.344827586,2.421052632,3.712328767,6.916666667,70,34,24,18,8,48,66,36,36,8.9,37,20,18,4,16,297,77,11,8,47,10,3,82.2
105,Manhattan,Midtown,2.843373494,3.4375,1.710526316,2.333333333,1.75,2.285714286,3.793103448,6.684210526,3.872340426,10,6.4,3.131578947,2.333333333,5.5,2.565217391,2.017770598,7.48,3.88,4.214285714,6.586206897,2.421052632,2.849315068,9.083333333,33,28,6,11,5,41,66,54,15,11.3,27,18,11,4,9,98,83,11,8,51,10,2.3,84.8
109,Manhattan,Morningside Heights and Hamilton Heights,7.722891566,4.5625,5.263157895,6.666666667,4,5.5,5.965517241,4,7.319148936,4.396226415,5,3.842105263,2.333333333,4.375,8.826086957,5.43457189,4.96,3.88,5.5,4.724137931,5.026315789,5.561643836,6.25,78,34,21,24,8,51,73,37,33,8,20,21,11,3,25,333,76,11,10,45,21,4.5,81.4
